Personnel Number,Credit Amount
647250,55.00
954206,90.00
726429,55.00
515250,55.00
425158,55.00
1689627,55.00
1170367,69.00
524669,42.00
403770,50.00
1494335,37.00
961353,55.00
1234855,55.00
511480,69.00
1330049,40.00
497438,40.00
537061,44.00
834791,75.00
1385950,90.00
559453,42.00
1917761,39.00
999633,37.00
870229,75.00
849389,40.00
805736,39.00
1331786,55.00
1496007,75.00
1766707,37.00
368524,69.00
1516852,37.00
574045,45.00
801223,55.00
359383,44.00
1677605,62.00
1809380,50.00
1150391,55.00
867108,45.00
1368274,55.00
1439740,69.00
1939095,37.00
1014158,62.00
1469621,62.00
1871768,55.00
1728493,57.00
1901111,55.00
659899,62.00
1821427,44.00
829591,69.00
1338793,60.00
1501640,75.00
1875060,40.00
1805899,47.00
1067991,75.00
1797921,47.00
1881881,37.00
584215,62.00
1684739,37.00
1380866,62.00
1037546,37.00
1020356,55.00
1660760,44.00
1400326,55.00
1864711,57.00
664154,50.00
1885394,44.00
871336,50.00
1446142,35.00
1420749,40.00
1349683,57.00
956586,75.00
1819421,50.00
1953773,47.00
807541,75.00
1687175,55.00
591738,62.00
1266793,55.00
727951,47.00
1266773,32.00
548161,47.00
936605,40.00
1366101,62.00
1678721,40.00
390880,62.00
1338754,44.00
1254150,69.00
1260377,62.00
1920030,37.00
427677,75.00
703884,47.00
1688250,37.00
1725417,62.00
384875,75.00
1909933,47.00
1245908,50.00
1022822,62.00
775317,62.00
1687009,33.00
459950,62.00
1831590,47.00
535014,47.00
1351747,75.00
1502136,47.00
704520,75.00
1879809,57.00
1996518,37.00
1000292,75.00
,
,"5,658.00"
,
,Parks Rent Deduction for August Payroll