AppMilestoneID,Project Number,Applicant,Project,Milestone,DueDate,MilestoneStatus,CompletionDate,County,Region,ProjStartDate,ProjEndDate
3072,10 0623,Leland,Westgate Nature Park,2nd Annual progress report,7/1/2011,Incomplete,,Brunswick,Central East,8/1/2010,7/30/2013
2833,09 0602,New Hanover,Smith Creek Park,2nd Annual progress report,11/1/2011,Incomplete,,New Hanover,Central East,11/1/2009,10/31/2012
3162,10 0648,Wrightsville Beach,Wrightsville Beach Park Improvements,2nd Annual progress report,10/1/2011,Incomplete,,New Hanover,Central East,10/1/2010,9/30/2013
3321,11 0654,Clayton,North Clayton Park - Mountains-to-Sea Trail Trailhead Acquisition,Six month progress report,12/28/2011,Incomplete,,Johnston,Central East,7/1/2011,6/30/2014
3364,11 0661,Harnett,"Anderson Creek Park, Phase I",Six month progress report,12/28/2011,Incomplete,,Harnett,Central East,7/1/2011,6/30/2014
3430,11 0672,Wake,Acquisition of an In-holding Turnipseed Preserve Property,Six month progress report,12/28/2011,Incomplete,,Wake,Central East,7/1/2011,6/30/2014
3322,11 0654,Clayton,North Clayton Park - Mountains-to-Sea Trail Trailhead Acquisition,1st Annual progress report,6/30/2012,Pending,,Johnston,Central East,7/1/2011,6/30/2014
3508,11 0679,Dunn,Tyler Park Enhancement,1st Annual progress report,12/31/2012,Pending,,Harnett,Central East,1/1/2012,12/31/2013
3365,11 0661,Harnett,"Anderson Creek Park, Phase I",1st Annual progress report,6/30/2012,Pending,,Harnett,Central East,7/1/2011,6/30/2014
3431,11 0672,Wake,Acquisition of an In-holding Turnipseed Preserve Property,1st Annual progress report,6/30/2012,Pending,,Wake,Central East,7/1/2011,6/30/2014
2996,10 0615,Butner,Butner Athletic Park,2nd Annual progress report,6/30/2012,Pending,,Granville,Central East,8/1/2010,7/30/2013
3052,10 0616,Calabash,Community Park,2nd Annual progress report,6/30/2012,Pending,,Brunswick,Central East,8/1/2010,7/30/2013
2975,10 0619,Godwin,Godwin Park,2nd Annual progress report,6/30/2012,Pending,,Cumberland,Central East,12/1/2010,11/30/2013
3073,10 0623,Leland,Westgate Nature Park,2nd Annual progress report,6/30/2012,Pending,,Brunswick,Central East,8/1/2010,7/30/2013
2982,10 0625,Morrisville,Carrington Property Land Acquisition,2nd Annual progress report,6/30/2012,Pending,,Wake,Central East,8/1/2010,6/30/2013
2989,10 0627,Raleigh,Neuse River Greenway Acquisition,2nd Annual progress report,6/30/2012,Pending,,Wake,Central East,8/1/2010,7/30/2013
3170,10 0647,Spring Lake,Edward Mendoza Memorial Park Additions,2nd Annual progress report,9/30/2012,Pending,,Cumberland,Central East,10/1/2010,9/30/2013
3163,10 0648,Wrightsville Beach,Wrightsville Beach Park Improvements,2nd Annual progress report,9/30/2012,Pending,,New Hanover,Central East,10/1/2010,9/30/2013
2757,09 0591,Benson,Benson Community Park,Close out documents received,12/30/2012,Pending,,Johnston,Central East,11/1/2009,10/31/2012
2695,08 0583,Kenansville,Kenan Park Improvements,Close out documents received,11/29/2012,Pending,,Duplin,Central East,9/1/2008,8/31/2012
2814,09 0599,Kure Beach,Ocean Front Park,Close out documents received,12/30/2012,Pending,,New Hanover,Central East,11/1/2009,10/31/2012
2835,09 0602,New Hanover,Smith Creek Park,Close out documents received,12/30/2012,Pending,,New Hanover,Central East,11/1/2009,10/31/2012
2884,09 0609,Stovall,Stovall Community Park,Close out documents received,12/30/2012,Pending,,Granville,Central East,11/1/2009,10/31/2012
3493,08 0588,Burgaw,Osgood Canal Greenway and Urban Trail,Letter to sponsor - project ends in 90 days.,9/1/2012,Pending,,Pender,Central East,12/1/2008,11/30/2012
3462,08 0583,Kenansville,Kenan Park Improvements,Letter to sponsor - project ends in 90 days.,6/2/2012,Pending,,Duplin,Central East,9/1/2008,8/31/2012
3543,11 0683,Carolina Beach,Ocean-to-Sound Access Park Acquisition,Six month progress report,9/28/2012,Pending,,New Hanover,Central East,4/1/2012,3/30/2015
3507,11 0679,Dunn,Tyler Park Enhancement,Six month progress report,6/29/2012,Pending,,Harnett,Central East,1/1/2012,12/31/2013
2427,08 0545,Alamance,Alamance County Greenway,Close out documents received,2/29/2012,Completed,2/27/2012,Alamance,Central West,7/1/2008,12/31/2011
2826,09 0601,Matthews,Squirrel Lake Park Improvements,2nd Annual progress report,11/1/2011,Incomplete,,Mecklenburg,Central West,11/1/2009,10/31/2012
2925,10 0626,Oakboro,Oakboro District Park,2nd Annual progress report,7/1/2011,Incomplete,,Stanly,Central West,7/1/2010,6/30/2013
2847,09 0604,Peachland,Peachland Park Improvements,2nd Annual progress report,11/1/2011,Incomplete,,Anson,Central West,11/1/2009,10/31/2012
3183,10 0645,Rowan,Ellis Park Recreational Improvements,2nd Annual progress report,10/1/2011,Incomplete,,Rowan,Central West,10/1/2010,9/30/2013
3176,10 0646,Salisbury,Foil-Tatum Park Development,2nd Annual progress report,10/1/2011,Incomplete,,Rowan,Central West,10/1/2010,9/30/2013
3286,11 0649,Alamance,NC Mountains-to-Sea Trail - Southern Alamance Section,Six month progress report,12/28/2011,Incomplete,,Alamance,Central West,7/1/2011,6/30/2014
3328,11 0655,Concord,"Rocky River Greenway, Northwest Phase",Six month progress report,12/28/2011,Incomplete,,Cabarrus,Central West,7/1/2011,6/30/2014
3358,11 0660,Graham,Jim Minor Road Land Acquisition,Six month progress report,12/28/2011,Incomplete,,Alamance,Central West,7/1/2011,6/30/2014
3370,11 0662,Iredell,Scotts Rosenwald Park,Six month progress report,12/28/2011,Incomplete,,Iredell,Central West,7/1/2011,6/30/2014
3418,11 0670,Trinity,Center City Park,Six month progress report,12/28/2011,Incomplete,,Randolph,Central West,7/1/2011,6/30/2014
3424,11 0671,Troutman,Troutman-ESC Park,Six month progress report,12/28/2011,Incomplete,,Iredell,Central West,7/1/2011,6/30/2014
3436,11 0673,Walkertown,Walkertown Town Center Park,Six month progress report,12/28/2011,Incomplete,,Forsyth,Central West,7/1/2011,6/30/2014
3442,11 0674,Wesley Chapel,Dogwood Park,Six month progress report,12/28/2011,Incomplete,,Union,Central West,7/1/2011,6/30/2014
3287,11 0649,Alamance,NC Mountains-to-Sea Trail - Southern Alamance Section,1st Annual progress report,6/30/2012,Pending,,Alamance,Central West,7/1/2011,6/30/2014
3329,11 0655,Concord,"Rocky River Greenway, Northwest Phase",1st Annual progress report,6/30/2012,Pending,,Cabarrus,Central West,7/1/2011,6/30/2014
3359,11 0660,Graham,Jim Minor Road Land Acquisition,1st Annual progress report,6/30/2012,Pending,,Alamance,Central West,7/1/2011,6/30/2014
3371,11 0662,Iredell,Scotts Rosenwald Park,1st Annual progress report,6/30/2012,Pending,,Iredell,Central West,7/1/2011,6/30/2014
3495,11 0681,Spencer,Stanback Educational Forest and Park,1st Annual progress report,12/31/2012,Pending,,Rowan,Central West,1/1/2012,12/31/2014
3419,11 0670,Trinity,Center City Park,1st Annual progress report,6/30/2012,Pending,,Randolph,Central West,7/1/2011,6/30/2014
3425,11 0671,Troutman,Troutman-ESC Park,1st Annual progress report,6/30/2012,Pending,,Iredell,Central West,7/1/2011,6/30/2014
3437,11 0673,Walkertown,Walkertown Town Center Park,1st Annual progress report,6/30/2012,Pending,,Forsyth,Central West,7/1/2011,6/30/2014
3443,11 0674,Wesley Chapel,Dogwood Park,1st Annual progress report,6/30/2012,Pending,,Union,Central West,7/1/2011,6/30/2014
2933,10 0614,Biscoe,Deaton Monroe Park,2nd Annual progress report,6/30/2012,Pending,,Montgomery,Central West,8/1/2010,7/30/2013
2926,10 0626,Oakboro,Oakboro District Park,2nd Annual progress report,6/30/2012,Pending,,Stanly,Central West,7/1/2010,6/30/2013
3184,10 0645,Rowan,Ellis Park Recreational Improvements,2nd Annual progress report,9/30/2012,Pending,,Rowan,Central West,10/1/2010,9/30/2013
3177,10 0646,Salisbury,Foil-Tatum Park Development,2nd Annual progress report,9/30/2012,Pending,,Rowan,Central West,10/1/2010,9/30/2013
2828,09 0601,Matthews,Squirrel Lake Park Improvements,Close out documents received,12/30/2012,Pending,,Mecklenburg,Central West,11/1/2009,10/31/2012
2849,09 0604,Peachland,Peachland Park Improvements,Close out documents received,12/30/2012,Pending,,Anson,Central West,11/1/2009,10/31/2012
3549,11 0682,Aberdeen,Ray's Mill Pond Park Acquisition and Development,Six month progress report,9/28/2012,Pending,,Moore,Central West,4/1/2012,3/30/2015
3538,11 0684,Guilford,Northeast Park Phase 3,Six month progress report,9/28/2012,Pending,,Guilford,Central West,4/1/2012,3/30/2015
3494,11 0681,Spencer,Stanback Educational Forest and Park,Six month progress report,6/29/2012,Pending,,Rowan,Central West,1/1/2012,12/31/2014
3520,11 0687,Star,Star Park Improvements,Six month progress report,9/28/2012,Pending,,Montgomery,Central West,4/1/2012,3/30/2015
2420,08 0544,Ahoskie,Ahoskie Creek Recreational Complex,Close out documents received,2/29/2012,Completed,11/9/2011,Hertford,Eastern,7/1/2008,12/31/2011
2772,09 0593,Castalia,Castalia Neighborhood Park,Close out documents received,12/30/2012,Completed,2/4/2010,Nash,Eastern,11/1/2009,10/31/2012
2793,09 0596,Dare,Rodanthe Public Beach Access and Oceanfront Park Land Acquisition,Close out documents received,12/30/2012,Completed,5/16/2011,Dare,Eastern,11/1/2009,10/31/2012
2483,08 0553,Elizabeth City,South Park Sports Complex,Close out documents received,2/29/2012,Completed,11/10/2011,Pasquotank,Eastern,7/1/2008,12/31/2011
2800,09 0597,Emerald Isle,Public Boat Launching Facility,Close out documents received,12/30/2012,Completed,,Carteret,Eastern,11/1/2009,10/31/2012
2784,09 0595,Currituck,Corolla Greenway,2nd Annual progress report,11/1/2011,Incomplete,,Currituck,Eastern,11/1/2009,10/31/2012
3065,10 0620,Greenville,Drew Steele Center,2nd Annual progress report,7/1/2011,Incomplete,,Pitt,Eastern,8/1/2010,7/30/2013
3293,11 0650,Ayden,Ayden District Park,Six month progress report,12/28/2011,Incomplete,,Pitt,Eastern,7/1/2011,6/30/2014
3307,11 0652,Bath,Lawson's Walk,Six month progress report,12/28/2011,Incomplete,,Beaufort,Eastern,7/1/2011,6/30/2014
3340,11 0657,Enfield,Enfield Community Park Phase II,Six month progress report,12/28/2011,Incomplete,,Halifax,Eastern,7/1/2011,6/30/2014
3346,11 0658,Farmville,Municipal Athletic Park Improvements,Six month progress report,12/28/2011,Incomplete,,Pitt,Eastern,7/1/2011,6/30/2014
3352,11 0659,Goldsboro,Stoney Creek Park,Six month progress report,12/28/2011,Incomplete,,Wayne,Eastern,7/1/2011,6/30/2014
3382,11 0664,Saratoga,Saratoga Town Park,Six month progress report,12/28/2011,Incomplete,10/11/2011,Wilson,Eastern,7/1/2011,6/30/2014
3394,11 0666,Spring Hope,Spring Hope Park Renovation,Six month progress report,12/28/2011,Incomplete,,Nash,Eastern,7/1/2011,6/30/2014
3406,11 0668,Stantonsburg,Statonsburg Town Park,Six month progress report,12/28/2011,Incomplete,,Wilson,Eastern,7/1/2011,6/30/2014
3294,11 0650,Ayden,Ayden District Park,1st Annual progress report,6/30/2012,Pending,,Pitt,Eastern,7/1/2011,6/30/2014
3308,11 0652,Bath,Lawson's Walk,1st Annual progress report,6/30/2012,Pending,,Beaufort,Eastern,7/1/2011,6/30/2014
3470,11 0675,Beaufort,Crisp Landing Acquisition,1st Annual progress report,9/30/2012,Pending,,Beaufort,Eastern,10/1/2011,9/30/2014
3341,11 0657,Enfield,Enfield Community Park Phase II,1st Annual progress report,6/30/2012,Pending,,Halifax,Eastern,7/1/2011,6/30/2014
3347,11 0658,Farmville,Municipal Athletic Park Improvements,1st Annual progress report,6/30/2012,Pending,,Pitt,Eastern,7/1/2011,6/30/2014
3353,11 0659,Goldsboro,Stoney Creek Park,1st Annual progress report,6/30/2012,Pending,,Wayne,Eastern,7/1/2011,6/30/2014
3476,11 0676,Lenoir,Woodmen Water Park,1st Annual progress report,9/30/2012,Pending,,Lenoir,Eastern,10/1/2011,9/30/2014
3502,11 0680,Nashville,Stony Creek Environmental Park,1st Annual progress report,12/31/2012,Pending,,Nash,Eastern,1/1/2012,12/31/2014
3383,11 0664,Saratoga,Saratoga Town Park,1st Annual progress report,6/30/2012,Pending,,Wilson,Eastern,7/1/2011,6/30/2014
3395,11 0666,Spring Hope,Spring Hope Park Renovation,1st Annual progress report,6/30/2012,Pending,,Nash,Eastern,7/1/2011,6/30/2014
3407,11 0668,Stantonsburg,Statonsburg Town Park,1st Annual progress report,6/30/2012,Pending,,Wilson,Eastern,7/1/2011,6/30/2014
3045,10 0613,Bayboro,Bayboro Waterfront Park,2nd Annual progress report,6/30/2012,Pending,,Pamlico,Eastern,8/1/2010,7/30/2013
3059,10 0617,Duck,Soundside Boardwalk,2nd Annual progress report,7/9/2012,Pending,,Dare,Eastern,8/10/2010,7/30/2013
3003,10 0618,Enfield,Enfield Community Park,2nd Annual progress report,6/30/2012,Pending,,Halifax,Eastern,8/1/2010,7/30/2013
3066,10 0620,Greenville,Drew Steele Center,2nd Annual progress report,6/30/2012,Pending,,Pitt,Eastern,8/1/2010,7/30/2013
3219,10 0640,Havelock,Recreation Center Renovation,2nd Annual progress report,9/30/2012,Pending,,Craven,Eastern,10/1/2010,9/30/2013
3205,10 0642,Kitty Hawk,Sandy Run Park II,2nd Annual progress report,9/30/2012,Pending,,Dare,Eastern,10/1/2010,9/30/2013
3080,10 0628,Saratoga,Town Park,2nd Annual progress report,6/30/2012,Pending,,Wilson,Eastern,8/1/2010,7/30/2013
3087,10 0631,Washington,Feastival Park,2nd Annual progress report,6/30/2012,Pending,,Beaufort,Eastern,8/1/2010,7/30/2013
2855,09 0605,Rocky Mount,Rocky Mount Sports Complex III,3rd Annual progress report,10/31/2012,Pending,,Nash,Eastern,11/1/2009,10/31/2012
2752,09 0590,Bailey,Bailey-Middlesex Community Park,Close out documents received,12/29/2012,Pending,,Nash,Eastern,11/1/2009,10/30/2012
2779,09 0594,Craven,Latham-Whitehurst Nature Park,Close out documents received,12/30/2012,Pending,,Craven,Eastern,11/1/2009,10/31/2012
2786,09 0595,Currituck,Corolla Greenway,Close out documents received,12/30/2012,Pending,,Currituck,Eastern,11/1/2009,10/31/2012
2821,09 0600,Martin,Moratoc Park Improvements,Close out documents received,12/30/2012,Pending,,Martin,Eastern,11/1/2009,10/31/2012
2856,09 0605,Rocky Mount,Rocky Mount Sports Complex III,Close out documents received,12/30/2012,Pending,,Nash,Eastern,11/1/2009,10/31/2012
3469,11 0675,Beaufort,Crisp Landing Acquisition,Six month progress report,3/29/2012,Pending,,Beaufort,Eastern,10/1/2011,9/30/2014
3475,11 0676,Lenoir,Woodmen Water Park,Six month progress report,3/29/2012,Pending,,Lenoir,Eastern,10/1/2011,9/30/2014
3501,11 0680,Nashville,Stony Creek Environmental Park,Six month progress report,6/29/2012,Pending,,Nash,Eastern,1/1/2012,12/31/2014
3526,11 0686,Sharpsburg,Sharpsburg Town Park,Six month progress report,9/28/2012,Pending,,Edgecombe,Eastern,4/1/2012,3/30/2015
2745,09 0589,Asheville,Beaucatcher Overlook Park,Close out documents received,12/29/2012,Completed,5/16/2011,Buncombe,Western,11/1/2009,10/30/2012
2765,09 0592,Caldwell,Yadkin River Greenway,Close out documents received,12/30/2012,Completed,10/7/2011,Caldwell,Western,11/1/2009,10/31/2012
2497,08 0555,Gamewell,Gamewell Park,Close out documents received,2/28/2012,Completed,9/13/2011,Caldwell,Western,7/1/2008,12/3/2011
2654,08 0556,Gaston,Poston Park Lake Project,Close out documents received,3/29/2012,Completed,2/9/2012,Gaston,Western,8/1/2008,1/31/2012
2877,09 0608,Shelby,City Park Enhancement Project,Close out documents received,12/30/2012,Completed,8/18/2011,Cleveland,Western,11/1/2009,10/31/2012
2462,08 0551,Cleveland,Kings Mountain Gateway Trail,Close out documents received,2/29/2012,Incomplete,,Cleveland,Western,7/1/2008,12/31/2011
3300,11 0651,Banner Elk,Tate-Evans Park,Six month progress report,12/28/2011,Incomplete,,Avery,Western,7/1/2011,6/30/2014
3314,11 0653,Buncombe,Collier Property Acquisition,Six month progress report,12/28/2011,Incomplete,,Buncombe,Western,7/1/2011,6/30/2014
3334,11 0656,Conover,Conover Station Park,Six month progress report,12/28/2011,Incomplete,,Catawba,Western,7/1/2011,6/30/2014
3376,11 0663,North Wilkesboro,Smoot Park Improvements & Trail Link,Six month progress report,12/28/2011,Incomplete,,Wilkes,Western,7/1/2011,6/30/2014
3388,11 0665,Spindale,Deviney Park Improvements,Six month progress report,12/28/2011,Incomplete,,Rutherford,Western,7/1/2011,6/30/2014
3400,11 0667,Stanley,Harper Park,Six month progress report,12/28/2011,Incomplete,,Gaston,Western,7/1/2011,6/30/2014
3301,11 0651,Banner Elk,Tate-Evans Park,1st Annual progress report,6/30/2012,Pending,,Avery,Western,7/1/2011,6/30/2014
3315,11 0653,Buncombe,Collier Property Acquisition,1st Annual progress report,6/30/2012,Pending,,Buncombe,Western,7/1/2011,6/30/2014
3335,11 0656,Conover,Conover Station Park,1st Annual progress report,6/30/2012,Pending,,Catawba,Western,7/1/2011,6/30/2014
3482,11 0677,Lenoir,Lenoir Aquatic and Fitness Center Renovation,1st Annual progress report,9/30/2012,Pending,,Caldwell,Western,10/1/2011,9/30/2014
3488,11 0678,Lincoln,Rock Springs Nature Preserve Park,1st Annual progress report,9/30/2012,Pending,,Lincoln,Western,10/1/2011,9/30/2014
3377,11 0663,North Wilkesboro,Smoot Park Improvements & Trail Link,1st Annual progress report,6/30/2012,Pending,,Wilkes,Western,7/1/2011,6/30/2014
3389,11 0665,Spindale,Deviney Park Improvements,1st Annual progress report,6/30/2012,Pending,,Rutherford,Western,7/1/2011,6/30/2014
3401,11 0667,Stanley,Harper Park,1st Annual progress report,6/30/2012,Pending,,Gaston,Western,7/1/2011,6/30/2014
2954,10 0611,Alexander,Rocky Face Park,2nd Annual progress report,6/30/2012,Pending,,Alexander,Western,8/1/2010,7/30/2013
3247,10 0635,Alleghany,Sparta Parkway Park,2nd Annual progress report,9/30/2012,Pending,,Alleghany,Western,10/1/2010,9/30/2013
2961,10 0612,Ashe,Wallace Environmental Education Center,2nd Annual progress report,6/30/2012,Pending,,Ashe,Western,8/1/2010,7/30/2013
3226,10 0639,Gastonia,Rankin Lake Park Renovation & Revitalization,2nd Annual progress report,9/30/2012,Pending,,Gaston,Western,10/1/2010,9/30/2013
3017,10 0621,Henderson,Upper Hickory Nut Gorge Trail System,2nd Annual progress report,6/30/2012,Pending,,Henderson,Western,8/1/2010,7/30/2013
3212,10 0641,Hildebran,Royal Oaks Park,2nd Annual progress report,9/30/2012,Pending,,Burke,Western,10/1/2010,9/30/2013
3198,10 0643,Marshall,Blannerhassett Island Park,2nd Annual progress report,9/30/2012,Pending,,Madison,Western,10/1/2010,9/30/2013
3191,10 0644,McDowell,McDowell County Greenway Extension,2nd Annual progress report,9/30/2012,Pending,,McDowell,Western,10/1/2010,9/30/2013
3031,10 0624,Mills River,Mills River Park Phase I,2nd Annual progress report,6/30/2012,Pending,,Henderson,Western,8/1/2010,7/30/2013
2968,10 0632,Watauga,Rocky Knob Park - Phase 1,2nd Annual progress report,6/30/2012,Pending,,Watauga,Western,8/1/2010,7/30/2013
3038,10 0633,Waynesville,Waynesville Skate Park,2nd Annual progress report,6/30/2012,Pending,,Haywood,Western,8/1/2010,7/30/2013
2146,07 0498,Cramerton,Goat Island,Close out documents received,8/29/2012,Pending,,Gaston,Western,7/1/2007,6/30/2012
2595,08 0570,Polk,Alexander's Ford  Project,Close out documents received,8/29/2012,Pending,,Polk,Western,7/1/2008,6/30/2012
2863,09 0606,Rutherford,Rutherford County Soccer Complex,Close out documents received,12/30/2012,Pending,,Rutherford,Western,11/1/2009,10/31/2012
3559,07 0498,Cramerton,Goat Island,Letter to sponsor - project ends in 90 days.,4/1/2012,Pending,,Gaston,Western,7/1/2007,6/30/2012
3560,08 0570,Polk,Alexander's Ford  Project,Letter to sponsor - project ends in 90 days.,4/1/2012,Pending,,Polk,Western,7/1/2008,6/30/2012
3481,11 0677,Lenoir,Lenoir Aquatic and Fitness Center Renovation,Six month progress report,3/29/2012,Pending,,Caldwell,Western,10/1/2011,9/30/2014
3487,11 0678,Lincoln,Rock Springs Nature Preserve Park,Six month progress report,3/29/2012,Pending,,Lincoln,Western,10/1/2011,9/30/2014
3532,11 0685,Marion,Catawba River Greenway Phase II,Six month progress report,9/28/2012,Pending,,McDowell,Western,4/1/2012,3/30/2015
3514,11 0688,Yancey,Cane River Park,Six month progress report,9/28/2012,Pending,,Yancey,Western,4/1/2012,3/30/2015
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2751,09 0590,Bailey,Bailey-Middlesex Community Park,Letter to sponsor - project ends in 90 days.,8/1/2012,Pending,,Nash,Eastern,11/1/2009,10/30/2012
2781,09 0594,Craven,Latham-Whitehurst Nature Park,Letter to sponsor - project ends in 90 days.,8/2/2012,Pending,,Craven,Eastern,11/1/2009,10/31/2012
2788,09 0595,Currituck,Corolla Greenway,Letter to sponsor - project ends in 90 days.,8/2/2012,Pending,,Currituck,Eastern,11/1/2009,10/31/2012
2816,09 0599,Kure Beach,Ocean Front Park,Letter to sponsor - project ends in 90 days.,8/2/2012,Pending,,New Hanover,Central East,11/1/2009,10/31/2012
2823,09 0600,Martin,Moratoc Park Improvements,Letter to sponsor - project ends in 90 days.,8/2/2012,Pending,,Martin,Eastern,11/1/2009,10/31/2012
2830,09 0601,Matthews,Squirrel Lake Park Improvements,Letter to sponsor - project ends in 90 days.,8/2/2012,Pending,,Mecklenburg,Central West,11/1/2009,10/31/2012
2837,09 0602,New Hanover,Smith Creek Park,Letter to sponsor - project ends in 90 days.,8/2/2012,Pending,,New Hanover,Central East,11/1/2009,10/31/2012
2851,09 0604,Peachland,Peachland Park Improvements,Letter to sponsor - project ends in 90 days.,8/2/2012,Pending,,Anson,Central West,11/1/2009,10/31/2012
2858,09 0605,Rocky Mount,Rocky Mount Sports Complex III,Letter to sponsor - project ends in 90 days.,8/2/2012,Pending,,Nash,Eastern,11/1/2009,10/31/2012
2886,09 0609,Stovall,Stovall Community Park,Letter to sponsor - project ends in 90 days.,8/2/2012,Pending,,Granville,Central East,11/1/2009,10/31/2012
2892,09 0610,Swansboro,Swansboro Municipal Park Improvement Project,Letter to sponsor - project ends in 90 days.,8/2/2012,Pending,,Onslow,Eastern,11/1/2009,10/31/2012
3271,09 0606,Rutherford,Rutherford County Soccer Complex,Letter to sponsor - project ends in 90 days.,8/2/2012,Pending,,Rutherford,Western,11/1/2009,10/31/2012
2759,09 0591,Benson,Benson Community Park,Letter to sponsor - project ends in 90 days.,8/2/2012,Pending,,Johnston,Central East,11/1/2009,10/31/2012
